# v1 cointegration corpus retired 2026-05-30
# 398 rows from cointegration_sheet tagged methodology_version=v1_raw_adf
# columns: run_id | directive_id | pair_a | pair_b | is_current | completed_at_utc
#
b3296c2800bc58e592012825 | 90_PORT_AUDJPYEURAUD_15M_COINTREV_V3_L30__E001 | AUDJPY | EURAUD | 0 | 2026-05-28T10:08:04Z
b109d870febe2215762f008b | 90_PORT_AUDJPYEURJPY_15M_COINTREV_V3_L30__E001 | AUDJPY | EURJPY | 0 | 2026-05-28T10:08:08Z
9e8df6dc05d00f7883ce785f | 90_PORT_AUDJPYJPN225_15M_COINTREV_V3_L30__E001 | AUDJPY | JPN225 | 0 | 2026-05-28T10:08:27Z
a533f29efe9cadb5d6a47359 | 90_PORT_AUDNZDJPN225_15M_COINTREV_V3_L30__E001 | AUDNZD | JPN225 | 0 | 2026-05-28T10:08:47Z
ba3f4f7855b3d4eb92e8ffce | 90_PORT_AUDUSDJPN225_15M_COINTREV_V3_L30__E001 | AUDUSD | JPN225 | 0 | 2026-05-28T10:09:05Z
dd9a703549c4be965bb949e1 | 90_PORT_AUS200EURGBP_15M_COINTREV_V3_L30__E001 | AUS200 | EURGBP | 0 | 2026-05-28T10:09:24Z
ac6aa4ed59830263b58e8957 | 90_PORT_AUS200JPN225_15M_COINTREV_V3_L30__E001 | AUS200 | JPN225 | 0 | 2026-05-28T10:09:53Z
8e87b17cec55d84ef62e00e4 | 90_PORT_AUS200SPX500_15M_COINTREV_V3_L30__E001 | AUS200 | SPX500 | 0 | 2026-05-28T10:10:59Z
dc03c63dbe0d3dd4ddaaa379 | 90_PORT_AUS200US30_15M_COINTREV_V3_L30__E001 | AUS200 | US30 | 0 | 2026-05-28T10:11:28Z
729fae5daa97c53746a0d151 | 90_PORT_CADJPYJPN225_15M_COINTREV_V3_L30__E001 | CADJPY | JPN225 | 0 | 2026-05-28T10:38:06Z
5392d1bce1706daf1b0c9c5f | 90_PORT_CHFJPYEURAUD_15M_COINTREV_V3_L30__E001 | CHFJPY | EURAUD | 0 | 2026-05-28T10:38:10Z
25c72b7af55c57a897a09d56 | 90_PORT_CHFJPYJPN225_15M_COINTREV_V3_L30__E001 | CHFJPY | JPN225 | 0 | 2026-05-28T10:38:29Z
b8b2449d199488519e5f7300 | 90_PORT_EURAUDJPN225_15M_COINTREV_V3_L30__E001 | EURAUD | JPN225 | 0 | 2026-05-28T10:43:10Z
946896e2f1b3eb53aba6b951 | 90_PORT_EURGBPJPN225_15M_COINTREV_V3_L30__E001 | EURGBP | JPN225 | 0 | 2026-05-28T10:43:28Z
e247ba625c365276c4dcbdc9 | 90_PORT_EURGBPSPX500_15M_COINTREV_V3_L30__E001 | EURGBP | SPX500 | 0 | 2026-05-28T10:44:00Z
122db01d8c2f2c5ba5985790 | 90_PORT_EURJPYJPN225_15M_COINTREV_V3_L30__E001 | EURJPY | JPN225 | 0 | 2026-05-28T10:44:17Z
e34d14c06c9ac6f83d2e53ec | 90_PORT_EURUSDJPN225_15M_COINTREV_V3_L30__E001 | EURUSD | JPN225 | 0 | 2026-05-28T10:44:34Z
625a35699b55ae908f82578d | 90_PORT_EUSTX50JPN225_15M_COINTREV_V3_L30__E001 | EUSTX50 | JPN225 | 0 | 2026-05-28T10:45:01Z
174e789b068e33bf113d6473 | 90_PORT_FRA40JPN225_15M_COINTREV_V3_L30__E001 | FRA40 | JPN225 | 0 | 2026-05-28T10:45:28Z
becc62fe2a9bb0c2d13336bd | 90_PORT_GBPAUDJPN225_15M_COINTREV_V3_L30__E001 | GBPAUD | JPN225 | 0 | 2026-05-28T10:45:45Z
884116e3fa50aa88e5e014ed | 90_PORT_GBPJPYJPN225_15M_COINTREV_V3_L30__E001 | GBPJPY | JPN225 | 0 | 2026-05-28T10:46:01Z
e752957eda72ac533360f9da | 90_PORT_GBPNZDJPN225_15M_COINTREV_V3_L30__E001 | GBPNZD | JPN225 | 0 | 2026-05-28T10:46:18Z
dcbfde55217673f7fb9f3f6d | 90_PORT_GBPUSDJPN225_15M_COINTREV_V3_L30__E001 | GBPUSD | JPN225 | 0 | 2026-05-28T10:46:35Z
6a7cab121a70e8b005769134 | 90_PORT_GBPUSDUSDCHF_15M_COINTREV_V3_L30__E001 | GBPUSD | USDCHF | 0 | 2026-05-28T10:46:41Z
1bb5734ef3ab3c73feacf137 | 90_PORT_GER40JPN225_15M_COINTREV_V3_L30__E001 | GER40 | JPN225 | 0 | 2026-05-28T10:46:58Z
beee3828baa3bc0e43722228 | 90_PORT_ESP35JPN225_15M_COINTREV_V3_L30__E001 | ESP35 | JPN225 | 0 | 2026-05-28T10:48:39Z
0dbc60be538ef91fa0ef98d7 | 90_PORT_AUDJPYAUDNZD_15M_COINTREV_V3_L30__E003 | AUDJPY | AUDNZD | 0 | 2026-05-28T11:03:05Z
7dee97aa58c15d763fcde9db | 90_PORT_AUDJPYNZDJPY_15M_COINTREV_V3_L30__E003 | AUDJPY | NZDJPY | 0 | 2026-05-28T11:03:14Z
437590539f636307cb946a95 | 90_PORT_AUDJPYUK100_15M_COINTREV_V3_L30__E003 | AUDJPY | UK100 | 0 | 2026-05-28T11:03:33Z
88c7b88768c7052554c12c9e | 90_PORT_AUDUSDNZDUSD_15M_COINTREV_V3_L30__E003 | AUDUSD | NZDUSD | 0 | 2026-05-28T11:03:39Z
d183a1d20fed0ecdfa25911f | 90_PORT_AUDUSDUK100_15M_COINTREV_V3_L30__E003 | AUDUSD | UK100 | 0 | 2026-05-28T11:03:59Z
31dfb5fef50333058568e8b3 | 90_PORT_CADJPYEURGBP_15M_COINTREV_V3_L30__E003 | CADJPY | EURGBP | 0 | 2026-05-28T11:04:05Z
ff36d9a9f750af5d8b053115 | 90_PORT_CADJPYUK100_15M_COINTREV_V3_L30__E003 | CADJPY | UK100 | 0 | 2026-05-28T11:04:24Z
97db190cd350afd2dea2eb0c | 90_PORT_CHFJPYNZDJPY_15M_COINTREV_V3_L30__E003 | CHFJPY | NZDJPY | 0 | 2026-05-28T11:04:33Z
c70aff89166af2a376403833 | 90_PORT_CHFJPYUK100_15M_COINTREV_V3_L30__E003 | CHFJPY | UK100 | 0 | 2026-05-28T11:04:52Z
22325ddde38a1cbbc3689366 | 90_PORT_EURAUDUK100_15M_COINTREV_V3_L30__E003 | EURAUD | UK100 | 0 | 2026-05-28T11:05:10Z
